ภูมิประเทศ	คำอธิบาย
กงจ๋ง	เมือง เมืองเก่าอยู่ที่อำเภออวาย ในมณฑลจิลี แลตั้งอำเภอขึ้นใหม่เรียกกงจ๋ง อยู่ในมณฑลจิลีเหมือนกัน
ก๋งฮาน, เก้งฮัน	เมือง ในมณฑลเสฉวนมีเมืองชื่ออย่างนี้ ๓ เมือง ไม่ทราบว่าเปนเมืองใดแน่
กังจู๋	ตำบล ความจริงเปนหาดทราย ไม่นิยมว่าเปนที่ตรงไหน
กังจิ๋ว	เมือง เมืองเก่าอยู่ภาคตวันตก อำเภอปา มณฑลเสฉวน
กังตั๋ง	เมือง ที่จริงไม่ใช่ชื่อเมือง เปนภาคหนึ่งหรือก๊กหนึ่ง ตั้งขึ้นเมื่อครั้งราชวงศ์ฮั่นถึงสามก๊ก ต่อมาเปลี่ยนเปนเมืองกังหนำหรือภาคกังหนำ คนภายหลังหมายเอามณฑลเกียงซู เปนภาคกังตั๋ง ชี้เอาแม่น้ำเกียงจือเปนศูนย์กลาง เพราะมณฑลเกียงซูตั้งอยู่ภาคตวันออกเฉียงใต้แม่น้ำนั้น
กังเต๋ง	ตำบล ไม่ใช่ตำบลใหญ่โต หมายเอาศาลาที่ฝั่งน้ำเท่านั้น
กังหนำ	เมือง (ดูกังตั๋ง)
กังเหลง	เมือง ภายหลังเปนอำเภอกังเหลง มณฑลฮูเป
กังอั๋น	อ่าว ภายหลังมาเปนอำเภอ เมืองเก่าอยู่ภาคตวันออกเฉียงเหนือ อำเภอกังอั๋น มณฑลฮูเป
กังแฮ	เมือง ภายหลังเปนอำเภอ เมืองเก่าอยู่ภาคตวันตกเฉียงเหนือ มณฑลฮูเป
เก๋งก๋วน	เมือง ภายหลังเปนอำเภอเก๋ง มณฑลงางไฝ
เกงจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าอูเต้ ราชวงศ์แฮ่ ตอนปลายราชวงศ์ตั้งฮั่นตั้งที่ว่าการมณฑลที่เมืองฮังเสียว เมืองเก่าอยู่ภาคตวันออกเฉียงเหนือ อำเภอวูหลิง มณฑลฮูลำ ครั้งสามก๊ก ย้ายที่บัญชาการมณฑลเกงจิ๋วไปตั้งที่เมืองนำกุ๋น (ดูอักษร น) ราชวงศ์ภายหลังสามก๊ก ชี้เอาเมืองนำกุ๋นเปนเมืองเกงจิ๋ว
เกงเตียว	เมือง ที่จริงเกงเตียวแปลว่าเมืองหลวง แล้วแต่เมืองหลวงตั้งที่ไหนก็เรียกว่าเกงเตียว เช่นครั้งราชวงศ์ไซ่ฮั่น ตั้งเมืองลกเอี๋ยงเปนเมืองหลวง ก็เรียกว่าเกงเตียว คำว่าเกงเตียวยังใช้เรียกเมืองหลวงมาจนทุกวันนี้
เกงสัน	ภูเขา เขาเกงมีหลายแห่ง อยู่นอกประตูเซียนวู้เมืองปักกิงก็มี อยู่ภาคใต้อำเภอเอียนซือมณฑลโห้ลำก็มี อยู่ภาคตวันออกเฉียงใต้อำเภอเช่ามณฑลซันตงก็มี อยู่ภาคตวันออกเฉียงใต้อำเภอฮีมณฑลซันซีก็มี เขาเกงสันที่เรียกในเรื่องสามก๊ก จะเปนที่ไหนไม่ทราบชัด
ก่องเล่ง	เมือง เมืองเก่าอยู่ภาคตวันออกเฉียงเหนืออำเภอเกียงตูมณฑลเกียงซู
เกียงเสีย, เจียงเสีย, เสเกียง	เมือง ไม่ปรากฎว่าอยู่ที่ไหน
เกียดเช็ก	เมือง ที่จริงเปนชื่อภูเขา ไม่ทราบว่าอยู่ที่ไหนแน่
กินโต๋	เมือง ไม่ทราบว่าอยู่ที่ไหน
กินต้าย, กิมโต๋	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
กุนจิ๋ว, หุนจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าอูเต้ ราชวงศ์แฮ่ ครั้งราชวงศ์ตั้งฮั่นตั้งที่ว่าราชการมณฑลที่เมืองเชียงเยะ เมืองเก่าอยู่ภาคตวันตกเฉียงเหนืออำเภอลิงเฮียง มณฑลซันตง ครั้งสามก๊ก มณฑลกุนจิ๋วเปนของวุยก๊ก ย้ายที่ว่าการมณฑลไปตั้งที่เมืองลินคิว เมืองเก่าอยู่ภาคตวันตกเฉียงใต้ อำเภอฝานมณฑลซันตง ราชวงศ์ภายหลังสามก๊กลงมา ชี้เอาเมืองเฮียคิวเปนเมืองกุนจิ๋ว
กวนต๋ง	ด่าน ก่วนต๋ง แปลว่าระหว่างด่าน คือมณฑลเซียนซี เพราะมณฑลนี้อยู่ในระหว่างด่านฮำก๊ก ด่านอู้ ด่านซัน ด่านเสียว
กวนหยง	เมือง ภายหลังเปนอำเภอกวนหยง มณฑลเกียงซี เมืองเก่าอยู่ภาคเหนืออำเภอขึ้นไป
เกียนเงียบ	เมือง เดิมเรียกเมืองเบาะเหลง ครั้งสามก๊กพระเจ้าซุนกวนตั้งเมืองหลวงที่เหมืองเบาะเหลง จึงเปลี่ยนชื่อเปนเกียนเงียบ ครั้งราชวงศ์เหมงตั้งเมืองหลวงที่เมืองเกียนเงียบเปลี่ยนชื่อว่านางกิง ต่อมาเปลี่ยนเปนเมืองเกียงลิงฟู้
เกียบแฮ	ตำบล ภายหลังเรียกอำเภอเกียบ อยู่ในมณฑลโห้ลำ
กิมก๊กกี, เยมก๊กกี, เยมโกะ	ด่าน ภายหลังเปนเมืองเกียมโกะจิ๋ว เมืองด่านเก่าอยู่ภาคตวันออกเฉียงเหนือ อำเภอเกียมโกะ มณฑลเสฉวน
กิมกั๋ง	แม่น้ำ มี ๒ อยู่ในมณฑลเกียงซี ๑ มณฑลเสฉวน ๑ ในเรื่องสามก๊กหมายเอาแม่น้ำมณฑลเสฉวน
กิมงันเกียวโป๋	ตะพาน ไม่ทราบว่าอยู่ที่ไหน
กิมโต๋	ภูเขา (ดูที่กินต้าย)
กิมปินสาน	ภูเขา อยู่ในมณฑลเสฉวน
กิมหลงเสีย	เมือง วุยก๊กครั้งสามก๊กสร้างขึ้น เมืองเก่าอยู่ภาคตวันออกเฉียงเหนือ อำเภอลกเอี๋ยง มณฑลโห้ลำ
กิมเสีย	เมือง เมืองกิมเสียมี ๒ เมือง อยู่ในมณฑลกังซก ในเรื่องสามก๊กจะเปนเมืองไหนไม่ปรากฎชัด
เกียมเหลง	เมือง ภายหลังเรียกลิงย่อนฟู้ อยู่ในมณฑลเสฉวน
กิวกัง	เมือง เมืองเก่าอยู่ภาคตวันตกเฉียงเหนือ อำเภอติงย่อน มณฑลงางไฝ แล้วเปลี่ยนไปอยู่ในมณฑลเกียงซี
กุยกี	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
กุยก๋วน	ด่าน ไม่ทราบว่าอยู่ที่ไหน
กุ๋ย	ภูเขา ภายหลังเรียก จีกุ๋ย อยู่ในมณฑลฮูเป
กวยเซีย	ด่าน ไม่ทราบว่าอยู่ที่ไหน
กัวต่อ	เมือง อยู่ภาคตวันออกเฉียงเหนือ อำเภอจงเปี๋ยน มณฑลโห้ลำ ต่อมาเปนเมืองร้าง
ขยกโอ๋	ตำบล ต่อมาเรียกตำบลตังเอี้ยง มณฑลเกียงซู
ขยกเอี๋ยง	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
โคกุ๋น	เมือง อยู่ภาคใต้เมืองจุนงีฟู้ มณฑลกุยจิ๋ว
เคก	เมือง เมืองเก่าอยู่แขวงอำเภอพิงลก มณฑลซันซี
คอนจุง	ตำบล ต่อมาเปนอำเภอคอนเฉ่ง มณฑลเซียนซี
ฆอโผ	ตำบล อยู่ในมณฑลโห้ลำ
งอก๊ก	ทาง คือทางเขาจืองอก๊ก อยู่ภาคใต้อำเภอเตียงฮัน มณฑลเซียนซี เปนทางลัดระหว่างเมืองตังฉวน เมืองเตียงฮัน และเมืองลกเอี๋ยง
ง่อกุ๋น	เมือง ภายหลังเรียกซูเจียว มณฑลเกียงซู
หงี	เมือง ภายหลังเรียกหงีเฉ่ง มณฑลซันซี
งีเต๋า	เมือง ภายหลังเปนอำเภองีเต๋า มณฑลฮูเป
งีหยง	เมือง เมืองเก่าอยู่ภาคตวันออก อำเภอท่งปะ มณฑลโห้ลำ
งูปีสัน	ภูเขา เขางูปีมี ๓ ที่มณฑลเสฉวน ๑ มณฑลกวงซี ๑ มณฑลฮกเกี้ยน ๑ ภูเขางูปีในเรื่องสามก๊กคือเขางูปีมณฑลเสฉวน
โงงิวสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
โงหลังกั๋ง	ภูเขา อยู่ภาคตวันตกเฉียงใต้ อำเภอลำหยง มณฑลโห้ลำ
เงาไกสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
เง้าเขเซีย	เมือง ไม่ทราบว่าอยู่ที่ไหน
งักแกเสีย	เมือง ไม่ทราบว่าอยู่ที่ไหน
งักปุนก๋วน	ด่าน ตำบลงักปุนอยู่ภาคตวันออก อำเภอลินท่ง มณฑลเซียนซี
งินแข	เมือง ไม่ทราบว่าอยู่ที่ไหน
งินตีสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
งวนเสีย	เมือง ภายหลังเปนอำเภองวนเสีย อยู่ในมณฑลจิลี
เงียบกุ๋น	เมือง เมืองเก่าอยู่ในแขวงอำเภอลินเจียง มณฑลโห้ลำ
งิวจู๋	ตำบล เปนด่านอยู่ในมณฑลงางไฝ
งิวเทาสัน	ภูเขา ภูเขางิวมี ๒ อยู่ในมณฑลเกียงซู ที่กล่าวในสามก๊กไม่ปรากฎชัดว่าลูกไหน
จี	เมือง ภายหลังเปนอำเภอจีกุ๋ย มณฑลฮูเป เมืองเก่าอยู่ภาคตวันตก อำเภอจีกุ๋ย มณฑลฮูเป
จือเสีย, โจะเทาเสีย, เซ็กเทา	เมือง เมืองเก่าอยู่ภาคตวันตกอำเภอเกียงหลิง มณฑลเกียงซู
จูเต๋ง	ตำบล (ดูที่อูเต๋ง)
เจซุย	แม่น้ำ อยู่ในมณฑลโห้ลำ
เจปัก	เมือง เมืองเก่าอยู่ภาคตวันออกเฉียงใต้ อำเภอเชี่ยงชิง มณฑลซันตง
แจตอก	เมือง เมืองเก่าอยู่ในแขวงอำเภอเสียวชัน มณฑลเจเกียง
เจาอ๋อ	เมือง ภายหลังเปนอำเภอเจามณฑลงางไฝ เมืองเก่าล่มเปนทะเลสาบ คือทะเลสาบพรมแดนอำเภอเจา อำเภอหัยหุย อำเภอโลกั๋ง อำเภอซีเฉ่ง
เจ้ากุ๋น, เจียวกุ๋น	เมือง เมืองเก่าอยู่แขวงอำเภอเปาะ มณฑลงางไฝ
เจ้าซุย, เตียวซุย	แม่น้ำ อยู่ในมณฑลกังซก
เจ้าเส, เตียวเจี๋ยง, เตียวเอี๋ยง	เมือง เมืองเก่าอยู่แขวงอำเภอลินท่าม มณฑลกังซก
เจ้าสัน	ทาง ไม่ทราบว่าอยู่ที่ไหน
จำก๊ก	ด่าน (ดูที่เซียก๊ก)
จงก๋วน	เมือง (ดูที่อันจงก๋วน)
จงพวน	เมือง ภายหลังเปนอำเภอจงพวน มณฑลโห้ลำ
เจียงโต๋	ตำบล ทางตั้งแต่ภาคเหนืออำเภอเพาเฉ่ง ถึงภาคตวันออกเฉียงเหนืออำเภอฝง มณฑลเซียนซี
เจียงเสีย	เมือง (ดูที่เกียงเสีย)
เจียงโห	แม่น้ำ อยู่ในมณฑลจิลี
จันเค้า	ทาง ไม่ทราบว่าอยู่ที่ไหน
จิ้น	เมือง คือมณฑลซันซี
จิ๋นก๊ก	เมือง คือมณฑลเซียนซี
จุนสัว	เมือง เมืองเก่าอยู่ภาคตวันตกเฉียงเหนือ อำเภอคายฝง มณฑลโห้ลำ
จวนหยกสัน	ภูเขา คือเขาหยกจวน ภูเขาชื่อนี้มี ๒ อยู่ภาคตวันตกเฉียงเหนือเมืองปักกิง ๑ อยู่ภาคตวันตกอำเภอตังเอียง มณฑลฮูเป ๑ ภูเขาหยกจวนที่กล่าวในเรื่องสามก๊กจะเปนลูกใดไม่แน่
เจียนต๋อง	เมือง ภายหลังเปนอำเภอ มณฑลเจเกียง เมืองเก่าอยู่แขวงอำเภอเจียนต๋อง มณฑลเจเกียง
เจียวก๊ก	เมือง เมืองเก่าอยู่แขวงอำเภอเปาะ มณฑลงางไฝ
เจียวกุ๋น	เมือง (ดูที่เจ้ากุ๋น)
เจี๋ยวซอง	ตำบล ไม่ทราบว่าอยู่ที่ไหน
จัวปักสก	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
โจะเทาเสีย	เมือง (ดูที่จือเสีย)
ฉบวยโผ	ทาง ไม่ทราบว่าอยู่ที่ไหน
ฉสองกุ๋น	เมือง เมืองเก่าอยู่ภาคตวันตกเฉียงใต้ อำเภอกิวเกียง มณฑลกังไส
โฉหยง, โฉเหียง	เมือง ภายหลังเปนอำเภอโฉหยง มณฑลจิลี เมืองเก่าอยู่ภาคตวันตกเฉียงเหนือ อำเภอฝงไท มณฑลงางไฝ
โฉะเปงสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
เฉงจิ๋ว, เชงจิ๋ว, เชียงจิ๋ว, เซ้งจิ๋ว, เซียงจิ๋ว, ซุนจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าอูเต้ ราชวงศ์แฮ่ ครั้งราชวงศ์ฮั่นตั้งที่ว่าการมณฑลที่เมืองลิมฉี ราชวงศ์ภายหลังสามก๊กลงมาชี้เอาเมืองลิมฉีเปนเมืองเฉงจิ๋วฟู้
ฉวนเค้า, ซอนเค้า	ตำบล ไม่ทราบว่าอยู่ที่ไหน
ฉิวฉุน, ชิวฉุน	เมือง ภายหลังเปนอำเภอฉิวฉุน มณฑลงางไฝ
ชิจิ๋ว, ชิวจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าอูเต้ ราชวงศ์แฮ่ ครั้งราชวงศ์ตั้งฮั่นตั้งที่ว่าการมณฑลที่เมืองท่าง เมืองเก่าอยู่ภาคตวันตกเฉียงใต้ อำเภอท่างเฉ่ง มณฑลซันตงวุยก๊ก ครั้งสามก๊กย้ายที่ว่าการมณฑลไปตั้งที่เมืองเพงเสีย ราชวงศ์ภาคหลังสามก๊กลงมา ชี้เอาเมืองเพงเสียเปนเมืองชีจิ๋ว
ชะงันโผ	ตำบล ไม่ทราบว่าอยู่ที่ไหน
ชิงเอี๋ยง	แม่น้ำ ภายหลังมาเรียกชิมเอี๋ยง อยู่ภาคเหนืออำเภอกิว มณฑลกังใส
เชงจิ๋ว	เมือง (ดูที่เฉงจิ๋ว)
เชงเอี๋ยง	เมือง ภายหลังเปนอำเภอเชงเอี๋ยง มณฑลโห้ลำ
ชองเตง, ซองเต๋ง	ตำบล ไม่ทราบว่าอยู่ที่ไหน
เชียงจิ๋ว	เมือง (ดูที่เฉงจิ๋ว)
เชิงสัน	ภูเขา ภายหลังเรียกภูเขาเชิงเสีย อยู่ภาคตวันตกเฉียงใต้ อำเภอก๋ง มณฑลเสฉวน
ชันซก	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
ชินเสีย	เมือง (ดูที่ซินเสีย)
ชิวจิ๋ว	เมือง (ดูที่ชีจิ๋ว)
ชิวฉุน	เมือง (ดูที่ฉิวฉุน)
ชัวหยิน	แม่น้ำ อยู่แขวงอำเภอหวายอิน มณฑลเกียงซู
ซีหลง, เสเหลียง	เมือง ตั้งขึ้นครั้งราชวงศ์จิ้น ภายหลังมาเปนอำเภอวูไว มณฑลกังซก
ซีเสง	เมือง เมืองเก่าอยู่ภาคตวันออกอำเภอไถห้อ มณฑลงางไฝ
เซเปงก๋วน	ด่าน ภายหลังเปนอำเภอเซเป๋ง มณฑลโห้ลำ
ไซสิน	เมือง ไม่ทราบว่าอยู่ที่ไหน
เซ็กเต๋ง	ตำบล อยู่ภาคตวันออกเฉียงเหนืออำเภอเฉียนซัน มณฑลงางไฝ
เซ็กเทา	เมือง (ดูที่จือเสีย)
เซ็กเพ็ก	ภูเขา อยู่ฝั่งขวาแม่น้ำเอียงจือภาคตวันออกเฉียงเหนืออำเภอเกียฮี้ มณฑลฮูเป
ซงกั๋ง	เมือง ที่จริงเปนชื่อแม่น้ำ ภายหลังมาเรียกซงโห อยู่ในแขวงเมืองซงหยงฟู้ มณฑลฮูเป
ซงหยง	เมือง อยู่ในมณฑลฮูเป
ซ่งหยง	เมือง เมืองเก่าอยู่ภาคตวันออกเฉียงใต้ อำเภอจ๊กซันมณฑลฮูเป
ซังงาว	เมือง ภายหลังเปนอำเภอซังงาว อยู่ในมณฑลกวงซี
เซ้งจิ๋ว	เมือง (ดูที่เฉงจิ๋ว)
เซงเซ็ก	เมือง ไม่ทราบว่าอยู่ที่ไหน
เซงโต๋	เมือง อยู่ในมณฑลเสฉวน
ซองสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
เซียงจิ๋ว	เมือง (ดูที่เฉงจิ๋ว)
เซียงต๋ว	เมือง เมืองเก่าอยู่ภาคใต้อำเภอเอี้ยงคยก มณฑลซันซี
เซียงเท้ง, เสียงเท้ง	เมือง เมืองเก่าอยู่ภาคตวันตกเฉียงใต้อำเภอเทียนซุย มณฑลกังซก
เซียงเป๋ง	เมือง เมืองเก่าอยู่ภาคเหนืออำเภอเลียวเอี๋ยง มณฑลฝงเทียน
เซียงหยง	เมือง เมืองเก่าอยู่ที่พรมแดนเมืองลำหยงฟู้ มณฑลโห้ลำกับเมืองเซียงหยงฟู้ มณฑลฮูเป เมืองเซียงหยงฟู้ตั้งขึ้นครั้งราชวงศ์เหมง
เซียงไส	เมือง ครั้งสามก๊กยังไม่มี พึ่งตั้งขึ้นเมื่อครั้งราชวงศ์ซ้อง แล้วเปลี่ยนเปนมณฑลเซียนซี
เซียงสัน, เสียงสัน	เมือง ภายหลังมาเปลี่ยนเปนอำเภอเสียงสันมณฑลเจเกียง เมืองเก่าอยู่ภาคตวันตกเฉียงเหนืออำเภอย่งสี มณฑลจิลี
ซันกวน	เมือง เปนเมืองด่านอยู่ภาคตวันตกเฉียงใต้ อำเภอเปากี มณฑลเซียนซี
ซันหยง	เมือง ภายหลังมาเปนอำเภอซันหยง มณฑลเกียงซู เมืองซันหยงว่าสร้างขึ้นในสมัยไซ่จิ้นหรือตั้งจิ้น ไม่แน่
ซันเอี๋ยง	เมือง ภายหลังเปนอำเภอซิวบู มณฑลโห้ลำ
ซินก๋วน	เมือง ไม่ทราบว่าอยู่ที่ไหน
ซินเฉีย	แม่น้ำ ภายหลังเรียกซินซุย อยู่ในมณฑลเสฉวน
ซินเสีย, ชินเสีย	เมือง ครั้งสามก๊กเมืองซินเสียมี ๒ เมือง คือเมืองซินเสียฝ่ายโจผี ซึ่งภายหลังเปลี่ยนเปนอำเภอฟ่าง มณฑลฮูเปเมือง ๑ เมืองซินเสียฝ่ายซุนกวน ซึ่งภายหลังเปนอำเภอซินเสีย มณฑลเจเกียงเมือง ๑
ซินเอี๋ย	เมือง ภายหลังเปนอำเภอซินเอี๋ย อยู่ในมณฑลโห้ลำ
ซินฮอง	เมือง เมืองเก่าอยู่ภาคตวันตกเฉียงเหนืออำเภอลินท่ง มณฑลเซียนซี
ซุนจิ๋ว	เมือง (ดูที่เฉงจิ๋ว)
ซุนหยง	เมือง ครั้งสามก๊กยังไม่มี พึ่งตั้งขึ้นเมื่อครั้งราชวงศ์เหม็ง แล้วต่อมาเปนอำเภอซุนหยง อยู่ในมณฑลเซียนซี
ซอนเค้า	ตำบล (ดูที่ฉวนเค้า)
ซิมหวย, เซียหวย	เมือง ไม่ทราบว่าอยู่ที่ไหน
เซียมก๊ก	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
ซิวสาน	ภูเขา ภูเขาซิว มี ๓ อยู่ในมณฑลโห้ลำ ๒ มณฑลเซียนซี ๑ ที่กล่าวถึงในเรื่องสามก๊กจะเปนเขาใดไม่แน่
เซียก๊ก, จำก๊ก	ด่าน อยู่ในมณฑลเซียนซี
เซียหยี	แม่น้ำ อยู่ในมณฑลยงลำ
เซียหวย	เมือง (ดูซิมหวย)
ซัวตัง	เมือง ตั้งขึ้นภายหลังสามก๊ก หมายเอาหัวเมืองภาคหนึ่ง ซึ่งอยู่ทางตวันออกเขาไทหัง คือมณฑลซันตง ซึ่งสำเนียงพวกแต้จิ๋วเรียกว่ามณฑลซัวตัง
ฌ้อ	เมือง เปนชื่อเดิมครั้งเลียดก๊ก คืออาณาจักรอันหนึ่ง ครั้งใต้เชงชี้เอาเมืองฮูลำมณฑลฮูเปเปนเมืองฌ้อ
ญี่สู	ตำบล อยู่ทางตวันตกเฉียงใต้อำเภอหังซัน ถึงพรมแดนอำเภอเฉา มณฑลงางไฝ เรียกกันเปน ๓ อย่าง ว่าญี่สู ๑ นำกวาน ๑ ตังหิน ๑
เตโกะ	เมือง คือที่พักเจ้าประเทศราชในเมืองหลวง
ไตกุ๋น, ไต้จิ๋ว	เมือง อยู่ในมณฑลซันซี
ไต้จิ้น	เมือง หมายเอาวุยก๊ก และจ๊กก๊ก เมื่อสุมาเอี๋ยนเปนพระเจ้าแผ่นดินแล้ว
ไต้เหลียง	เมือง ภายหลังเปนอำเภอคายฝง มณฑลโห้ลำ
โตเสียง	เมือง เมืองเก่าอยู่ทางตวันตกอำเภอโตเสียง มณฑลเจเกียง
เต๊กโตเสีย	เมือง ภายหลังเปนเต๊กโตจิ๋ว มณฑลกังซก
เตกหยง	เมือง ภายหลังเปนอำเภอเตกหยง เมืองเก่าอยู่ทางตวันออกเฉียงใต้ มณฑลเสฉวน
ตงกุ๋น, ตองกุ๋น	เมือง เปนหัวเมืองอยู่ในมณฑลกุนจิ๋ว ตั้งที่ว่าการที่อำเภอปักเอี้ยง
ตงก๋วน	ด่าน ภายหลังเปนอำเภอตง มณฑลเซียนซี
ตงเค้า	ทาง ไม่ทราบว่าอยู่ที่ไหน
ตงบันโบ๋	ตำบล อยู่ทางตวันตกเฉียงเหนืออำเภอตงเอี๋ยง มณฑลฮูเป
ตงหยง, ตงเอี๋ยง, ตองเอี๋ยง	เมือง ภายหลังเปนอำเภอตงเอี๋ยง มณฑลฮูเป
ตังกั๋น	เมือง ไม่ทราบว่าอยู่ที่ไหน
ตังฉวน	เมือง ตั้งขึ้นภายหลังสามก๊ก คือหัวเมืองภาคตวันออก มณฑลเสฉวน
ตังเหลงก๋วน	เมือง ไม่ทราบว่าอยู่ที่ไหน
ตังหิน	เมือง (ดูที่ญี่สู)
ตั๋งเซ็กไต๋	ปราสาท อยู่ภาคตวันตกเฉียงใต้ อำเภอลินเจียง มณฑลโห้ลำ กระเบื้องมุงปราสาทนั้นนับถือกันว่าดีนัก อาจใส่น้ำไว้ได้นานไม่แห้ง กระเบื้องนั้นราคาแพง ว่าทำหินฝนหมึกดีกว่ากระเบื้องอื่น
เตงกั๋ง	เมือง ไม่ทราบว่าอยู่ที่ไหน
เตงกุนสัน	ภูเขา อยู่ภาคตวันออกเฉียงใต้ อำเภอเมี้ยน มณฑลเซียนซี
เตงกวน	เมือง คืออำเภอฝานครั้งราชวงศ์ฮั่นมาถึงสามก๊ก ภายหลังจึงได้เรียกชื่อเตงกวน อยู่ในมณฑลซันตง
เต๊งจิ๋ว	เมือง ครั้งสามก๊กยังไม่มี มาตั้งขึ้นในภายหลัง อยู่ในมณฑลจิลี
เต๊งโต๋	เมือง ภายหลังเปนอำเภอเต๊งโต๋ มณฑลซันตง
ต๋องง่อ	เมือง ภายหลังเปนอำเภอง่อ มณฑลเกียงซู
ตองเต๋ง	เมือง ไม่ทราบว่าอยู่ที่ไหน
ตองไฮ	เมือง ครั้งสามก๊กตั้งที่ว่าการเมืองที่อำเภอท่าง มณฑลซันซี ภายหลังตั้งอำเภอตองไฮขึ้นในมณฑลเกียงซู
ตองโฮ	เมือง ภายหลังเปนอำเภอตังโฮ เมืองเก่าอยู่ภาคตวันออกเฉียงเหนือ อำเภอเอี้ยงก๊ก มณฑลซันตง
เตียงปันเกียว	ตะพาน ไม่ทราบว่าอยู่ที่ไหน
เตียงสา	เมือง อยู่ในมณฑลฮูลำ
เตียงเสีย	เมือง เตียงเสียแปลว่ากำแพงยาว ราชวงศ์ภายหลังสามก๊กชี้เอาอำเภอเชี่ยงฮิง มณฑลเจเกียง ที่จริงกำแพงยาวนั้นสร้างขึ้นแต่ครั้งเลียดก๊ก ราชวงศ์ต่อๆ มาก็ได้ซ่อมแซมโดยลำดับ พึ่งมางดเสียเมื่อราชวงศ์ไซจิ้นหรือตั้งจิ้น
