English	ไทย	สังกัด	ตำแหน่ง	กลุ่ม	ช่วงที่ปรากฏ
Cao Chun	โจซุน	วุยก๊ก (Wei)	นักรบ	น้องโจหยิน	กลาง
Cao De	โจเต๊ก		ขุนนาง	น้องโจโก๋	ต้น
Cao Fang	โจฮอง	วุยก๊ก (Wei)	นักรบ		ปลาย
Cao Hong	โจหอง	วุยก๊ก (Wei)	นักรบ		ต้น
Cao Huang	โจฮวน	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Cao Jia	เทาเจียด		ขุนนาง	10ขันที	ต้น
Cao Ju	โจกี๋	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Cao Lin	โจหลิน	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Cao Mao	โจมอ	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Cao Pi	โจผี	วุยก๊ก (Wei)	ขุนนาง	ลูกโจโฉ	ต้น
Cao Ren	โจหยิน	วุยก๊ก (Wei)	นักรบ		ต้น
Cao Rui	โจยอย	วุยก๊ก (Wei)	ขุนนาง	ลูกโจผี	ปลาย
Cao Shuang	โจซอง	วุยก๊ก (Wei)	ขุนนาง	ลูกโจจิ๋น	ปลาย
Cao Song	โจโก๋		ขุนนาง	พ่อโจโฉ	ต้น
Cao Xi	โจอี้	วุยก๊ก (Wei)	นักรบ		ปลาย
Cao Xing	โจเส็ง		นักรบ	ลิโป้	ต้น
Cao Xiong	โจหิม	วุยก๊ก (Wei)	ขุนนาง	ลูกโจโฉ	กลาง
Cao Xiu	โจฮิว	วุยก๊ก (Wei)	นักรบ		กลาง
Cao Xun	โจหุ้น	วุยก๊ก (Wei)	นักรบ		ปลาย
Cao Yan	โจง่าน	วุยก๊ก (Wei)	นักรบ		ปลาย
Cao Yong	โจเอ๋ง	วุยก๊ก (Wei)	นักรบ		กลาง
Cao Yu	โจฮู	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Cao Zhang	โจเจียง	วุยก๊ก (Wei)	นักรบ	ลูกโจโฉ	กลาง
Cao Zhen	โจจิ๋น	วุยก๊ก (Wei)	นักรบ		ปลาย
Cao Zhi	โจสิด	วุยก๊ก (Wei)	ขุนนาง	ลูกโจโฉ	กลาง
Cao Zun	โจจุ้น	วุยก๊ก (Wei)	นักรบ		ปลาย
Ce Xian(The Khan)	โจเอียนอ๋อง		นักรบ	เผ่าเหนือ	ต้น
Cen Bi	เงียมเพ็ก		นักรบ	อ้วนเสี้ยว	ต้น
Cen Hun	งิมหุน	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Cen Wei	งิมอุ๋ย	วุยก๊ก (Wei)	นักรบ		ปลาย
Cen Zhi	ห้วนหง		ขุนนาง	เล่าเปียว	ต้น
Chang Diao	เซียงเตียว	วุยก๊ก (Wei)	นักรบ		ปลาย
Chang Qi	เชียงกี่		นักรบ	เตียวล่อ	กลาง
Chang Xi	เซียงหู		นักรบ	ลิโป้	ต้น
Cheli Ji	เตียดลิเกียด		นักรบ	เกี๋ยงอ๋อง	ปลาย
Che Zhou	กีเหมา	วุยก๊ก (Wei)	ขุนนาง		ต้น
Chen Dan	ตันต๋ำ		ขุนนาง		ต้น
Chen Deng	ตันเต๋ง	จกก๊ก (Shu)	ขุนนาง	ลิโป้	ต้น
Chen Fan	ตันผวน		ขุนนาง		ต้น
Chen Gong	ตันก๋ง		กุนซือ	ลิโป้	ต้น
Chen Gui	ตันกุ๋ย		ขุนนาง	ลิโป้	ต้น
Chen Heng	ตันเหง		นักรบ	เล่าอิ้ว	ต้น
Chen Ji	ตันกี๋		นักรบ	อ้วนสุด	ต้น
Chen Jiao	ตันเกียว	วุยก๊ก (Wei)	ขุนนาง		กลาง
Chen Jiu	ตันจิ๋ว		นักรบ	หองจอ	กลาง
Chen Jun	ตันจุ้น	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Chen Lan	ตันหลัน		ขุนนาง	อ้วนสุด	ต้น
Chen Lin	ตันหลิม	วุยก๊ก (Wei)	ขุนนาง	อ้วนเสี้ยว	ต้น
Chen Qian	ตังเขียน	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Chen Qun	ตันกุ๋น	วุยก๊ก (Wei)	ขุนนาง		กลาง
Chen Sheng	ตันเสง		นักรบ	หองจอ	ต้น
Chen Shi	ตันเซ็ก(ตันซื่อ)	จกก๊ก (Shu)	นักรบ		กลาง
Chen Sun	ตันสูน		นักรบ	เล่าเปียว	กลาง
Chen Tai	ต้านท่าย		ขุนนาง		ปลาย
Chen Wu	ตันบู	ง่อก๊ก (Wu)	นักรบ		ต้น
Chen Xiang	ตันเสียง		ขุนนาง	เล่าเปียว	ต้น
Chen Ying	ตันเอ๋ง		นักรบ	เตียวหอม	กลาง
Chen Yuan	เฉินหยวน	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Chen Zhao	เฉินเจ้า	วุยก๊ก (Wei)	นักรบ		ปลาย
Chen Zhen	ตันจิ๋น	จกก๊ก (Shu)	ขุนนาง	อ้วนเสี้ยว	ต้น
Cheng Bing	เทียเป๋ง	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Cheng Deshu	เทียตก	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Cheng He	เสงโห		นักรบ		กลาง
Cheng Ji	เซงเจ		นักรบ		ท้ายสุด
Cheng Jin	เทียกี	จกก๊ก (Shu)	ขุนนาง		ปลาย
Cheng Kuang	เชียกง		ขุนนาง	10ขันที	ต้น
Cheng Lian	เซ้งเหลียม		นักรบ	ลิโป้	ต้น
Cheng Pu	เทียเภา	ง่อก๊ก (Wu)	นักรบ		ต้น
Cheng Wu	เทียบู	วุยก๊ก (Wei)	กุนซือ	ลูกเทียหยก	ปลาย
Cheng Yi	เซ่งหงี		นักรบ	หันซุย	กลาง
Cheng Yin	เทงหงิน		นักรบ	หันซุย	กลาง
Cheng Yu	เทียหยก	วุยก๊ก (Wei)	กุนซือ		ต้น
Cheng Yuanzhi	เทียอ้วยจี		นักรบ	โจรผ้าเหลือง	ต้น
Cheng Zi	เทียจู๋	ง่อก๊ก (Wu)	นักรบ	ลูกเทียเภา	กลาง
Cheng Zu	เซงจุย	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Chi Lu	คองสี	วุยก๊ก (Wei)	ขุนนาง		กลาง
Chong Fu	จงฝู่		ขุนนาง	ตั๋งโต๊ะ	ต้น
Chong Ji	ตันอิบ		ขุนนาง		ต้น
Chong Shao	ตงเซียว		ขุนนาง		ต้น
Chou Lian	ซือเหลียน	วุยก๊ก (Wei)	นักรบ		กลาง
Chung Jin	เตียวกี	จกก๊ก (Shu)	ขุนนาง		ปลาย
Chunyu Dan	ตุนอิตัน	ง่อก๊ก (Wu)	นักรบ		ปลาย
Chunyu Dao	อิโต	วุยก๊ก (Wei)	นักรบ		กลาง
Chunyu Qiong	อิเขง		นักรบ	อ้วนเสี้ยว	ต้น
Cuan Xi	เทียนสิบ	จกก๊ก (Shu)	ขุนนาง		ปลาย
Cui Liang	ซุยเหลียง	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Cui Lie	ซุ่ยเลี่ย		นักรบ	ตั๋งโต๊ะ	ต้น
Cui Yan	ซุยตำ	วุยก๊ก (Wei)	ขุนนาง	อ้วนเสี้ยว	ต้น
Cui Yong	ซุยยง		นักรบ		ต้น
Cui Yu	ซุยฮู	ง่อก๊ก (Wu)	นักรบ		ปลาย
Cui Zhouping	ซุยเป๋ง			เพื่อนขงเบ้ง	กลาง
Dai Lai	ตั้วไหล		นักรบ	ม่าน	ปลาย
Dai Ling	ไต้เหลง	วุยก๊ก (Wei)	นักรบ		ปลาย
Dai Yuan	ไต้อ้วน	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Dang Jun	ตองกิ๋น	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Deng Ai	เตงงาย	วุยก๊ก (Wei)	นักรบ		ปลาย
Deng Cheng	เตงเถี้ย	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Deng Dun	เตงตุ้น	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Deng Liang	เตงเลียง	จกก๊ก (Shu)	ขุนนาง		ท้ายสุด
Deng Long	เตงหลง		นักรบ	หองจอ	กลาง
Deng Mao	เตงเมา		นักรบ	โจรผ้าเหลือง	ต้น
Deng Tong	เตงถง	จกก๊ก (Shu)	ขุนนาง		ปลาย
Deng Xian	เตงเหียน	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Deng Xiang	เตงเหียน		นักรบ	เล่าเจี้ยง	กลาง
Deng Yang	เตงเหยียง	วุยก๊ก (Wei)	นักรบ		ปลาย
Deng Yi	ตงยี่		ขุนนาง	เล่าเปียว	กลาง
Deng Yu	เตงอี่		ขุนนาง	พ่อเตงจี๋	ต้น
Deng Zhi	เตงจี๋	จกก๊ก (Shu)	กุนซือ	เล่าเจี้ยง	กลาง
Deng Zhong	เตงต๋ง	วุยก๊ก (Wei)	นักรบ	ลูกเตงงาย	ท้ายสุด
Dian Man	เตียนมวน	วุยก๊ก (Wei)	นักรบ	ลูกเตียนอุย	ต้น
Dian Wei	เตียนอุย	วุยก๊ก (Wei)	นักรบ	เตียวเมา	ต้น
Diao Chan	เตียวเสี้ยน				ต้น
Ding Fei	เต๋งฮุย	วุยก๊ก (Wei)	ขุนนาง		กลาง
Ding Feng	เตงฮอง	ง่อก๊ก (Wu)	นักรบ		กลาง
Ding Fung	เตงเฟิง	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Ding Guan	เต๊งกวน		ขุนนาง		ต้น
Ding Li	เตงลี่	จกก๊ก (Shu)	ขุนนาง		ปลาย
Ding Mi	เตงปิด	วุยก๊ก (Wei)	นักรบ		ปลาย
Ding Xian	เตงหำ	จกก๊ก (Shu)	นักรบ		ปลาย
Ding Yi	เตงหงี	วุยก๊ก (Wei)	ขุนนาง		กลาง
Ding Yin	เตงอี้	วุยก๊ก (Wei)	ขุนนาง		กลาง
Ding Yuan	เต๊งหงวน		ขุนนาง	พ่อลิโป้	ต้น
Dong Cao	ตังเตียว	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Dong Chao	ตังเฉียว	วุยก๊ก (Wei)	นักรบ		กลาง
Dong Cheng	ตังสิน		นักรบ		ต้น
Dong Chong	ตันต๋ง		ขุนนาง		ต้น
Dong He	ตั๋งโห	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Dong Heng	ตังเหง	วุยก๊ก (Wei)	นักรบ		กลาง
Dong Huang	ตั๋งหวัง		ขุนนาง	หลานตั๋งโต๊ะ	ต้น
Dong Jue	ตังสิ้น	จกก๊ก (Shu)	นักรบ		ปลาย
Dong Min	ตั๋งห้อง		ขุนนาง	น้องตั๋งโต๊ะ	ต้น
Dongtu Na	สุนา		นักรบ	ม่าน	ปลาย
Dong Xi	ตังสิด	ง่อก๊ก (Wu)	นักรบ		ต้น
Dong Xin	ตังฮี	วุยก๊ก (Wei)	นักรบ		ปลาย
Dong Xun	ตังสิม	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Dong Yun	ตันอุ๋น	จกก๊ก (Shu)	ขุนนาง		ปลาย
Dong Zhao	ตังเจี๋ยว	วุยก๊ก (Wei)	ขุนนาง		ต้น
Dong Zhuo	ตั๋งโต๊ะ		ขุนนาง	พ่อลิโป้	ต้น
Dou Wu	เตาบู		ขุนนาง		ต้น
Du Lu	ตู้ลู่	จกก๊ก (Shu)	นักรบ		ปลาย
Du Qi	ตอกี้	จกก๊ก (Shu)	ขุนนาง		ปลาย
Du Qiong	เตาเขง	จกก๊ก (Shu)	นักรบ		ปลาย
Du Rui	ตอยอย	จกก๊ก (Shu)	นักรบ		ปลาย
Du Wei	โตบี	จกก๊ก (Shu)	ขุนนาง		ปลาย
Du Xi	โตสิบ	วุยก๊ก (Wei)	ขุนนาง		กลาง
Du Yi	ตอหงี	จกก๊ก (Shu)	ขุนนาง		ปลาย
Du Yu	เตาอี้	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Du Yuan	เตาอวน		นักรบ	โจรผ้าเหลือง	ต้น
Duan Gui	ต๋วนกุย		ขุนนาง	10ขันที	ต้น
Duan Wei	ตวนอุย	วุยก๊ก (Wei)	นักรบ		ต้น
Duo Si	โต้สู้		นักรบ	ม่าน	ปลาย
E Huan	งากฟัน		นักรบ	ม่าน	ปลาย
Ehe Shaoge	โงโหเสียวกั้ว		นักรบ	เกี๋ยง	ท้ายสุด
Fa Zheng	หวดเจ้ง	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Fan Chou	หวนเตียว		นักรบ	ตั๋งโต๊ะ	ต้น
Fan Jian	ฮวนเกี๋ยน	จกก๊ก (Shu)	นักรบ		ปลาย
Fan Jiang	ฮอมเกียง	จกก๊ก (Shu)	นักรบ	ฆ่าเตียวหุย	ปลาย
Fan Kang	ห้วนชง		ขุนนาง	เล่าเปียว	ต้น
Fan Neng	วัวเหล็ง		นักรบ	เล่าอิ้ว	ต้น
Fan Pang	หงิมติด		ขุนนาง	เล่าเปียว	ต้น
Fan Qi	ฮวนกี๋	จกก๊ก (Shu)	ขุนนาง		ปลาย
Fang Yue	หองหยก		นักรบ	อองของ	ต้น
Fei Guan	อุยหวน	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Fei Yao	ปีเอียว	วุยก๊ก (Wei)	นักรบ		ปลาย
Fei Yi	บิฮุย	จกก๊ก (Shu)	กุนซือ	เล่าเจี้ยง	กลาง
Fei Shi	บิสี(อุยสี)	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Feng Dan	เฝิงถ่ง	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Feng Li	บังเล้		นักรบ	อ้วนเสี้ยว	ต้น
Feng Xi	ปองสิบ	จกก๊ก (Shu)	นักรบ		ปลาย
Feng Xu	ฮองสี		ขุนนาง	10ขันที	ต้น
Fu De	ฮกเต็ก		ขุนนาง		ต้น
Fu Gan	โปหั้น	วุยก๊ก (Wei)	ขุนนาง		กลาง
Fu Gu	เปาต้าน	วุยก๊ก (Wei)	กุนซือ		ท้ายสุด
Fu Qian	ปอเฉียม	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Fu Shiren	เปาสูหยิน	จกก๊ก (Shu)	นักรบ		กลาง
Fu Tong	เปาเตียว	จกก๊ก (Shu)	นักรบ		ปลาย
Fu Wan	ฮกอ้วน		ขุนนาง		ต้น
Fu Xuan	ฮูสวน		ขุนนาง	เล่าเปียว	กลาง
Fu Ying	เปาเอ๋ง	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Gan Ning	กำเหลง	ง่อก๊ก (Wu)	นักรบ	หองจอ	กลาง
Gao Ding	โกเตง	จกก๊ก (Shu)	นักรบ	ม่าน	ปลาย
Gao Gan	โกกัน		นักรบ	หลานอ้วนเสี้ยว	ต้น
Gao Lan	โกลำ		นักรบ	อ้วนเสี้ยว	ต้น
Gao Pei	โกภาย		นักรบ	เล่าเจี้ยง	กลาง
Gao Rou	โกหยิว	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Gao Sheng	โกเสง		นักรบ	โจรผ้าเหลือง	ต้น
Gao Shun	โกซุ่น		นักรบ	ลิโป้	ต้น
Gao Xiang	โกเสียง	จกก๊ก (Shu)	นักรบ		ปลาย
Ge Ding	โกเตง	ง่อก๊ก (Wu)	นักรบ		กลาง
Ge Yong	กันหยง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Geng Ji	เกงจี	วุยก๊ก (Wei)	ขุนนาง		กลาง
Geng Wu	เก๋งบู		ขุนนาง	ฮันฮก	ต้น
Gong Du	ก๋งเต๋า	จกก๊ก (Shu)	นักรบ	โจรผ้าเหลือง	ต้น
Gong Jing	สิบเกง		ขุนนาง		ต้น
Gong Qi	จงคี	จกก๊ก (Shu)	นักรบ		ปลาย
Gong Zhi	ขงจี	จกก๊ก (Shu)	กุนซือ	กิมสวน	กลาง
Gongsun Du	กองซุนตู้		นักรบ	พ่อกองซุนของ	ต้น
Gongsun Gong	กองซุนก๋ง		ขุนนาง	กองซุนของ	ต้น
Gongsun Huang	กองซุนควั้ง	วุยก๊ก (Wei)	ขุนนาง	ลูกกองซุนของ	ปลาย
Gongsun Kang	กองซุนของ		ขุนนาง		ต้น
Gongsun Xiu	กองซุนสิว		ขุนนาง	ลูกกองซุนเอี๋ยน	ปลาย
Gongsun Yuan	กองซุนเอี๋ยน	วุยก๊ก (Wei)	ขุนนาง	ลูกกองซุนของ	ปลาย
Gongsun Yue	กองซุนอวด		ขุนนาง	กองซุนจ้าน	ต้น
Gongsun Zan	กองซุนจ้าน		ขุนนาง		ต้น
Gou Ai	กุอั๋น	จกก๊ก (Shu)	นักรบ		ปลาย
Gou An	กิอั๋น	วุย จก	นักรบ		ปลาย
Gu Li	กู่ลี่	ง่อก๊ก (Wu)	นักรบ		กลาง
Gu Yong	โกะหยง	ง่อก๊ก (Wu)	กุนซือ		ต้น
Guan Chun	กวนซุน		ขุนนาง	ฮันฮก	ต้น
Guan Ding	กวนเต๋ง			พ่อกวนเป๋ง	ต้น
Guan Hai	กวนไฮ		นักรบ	โจรผ้าเหลือง	ต้น
Guan Lu	หมอกวนลอ			หมอดู	กลาง
Guan Neng	กวนเหล็ง			พี่กวนเป๋ง	ต้น
Guan Ping	กวนเป๋ง	จกก๊ก (Shu)	นักรบ	ลูกบุญธรรม	ต้น
Guan Suo	กวนสก	จกก๊ก (Shu)	นักรบ	ลูกกวนอู2	ปลาย
Guan Xing	กวนหิน	จกก๊ก (Shu)	นักรบ	ลูกกวนอู1	กลาง
Guan Yong	ถังหยง	จกก๊ก (Shu)	นักรบ		ปลาย
Guan Yi	กวนเหล็ง	จกก๊ก (Shu)	ขุนนาง	หลานกวนอู	ท้ายสุด
Guan Yu	กวนอู	จกก๊ก (Shu)	นักรบ		ต้น
Guanqiu Dian	บู๊ขิวเตี้ยน	วุยก๊ก (Wei)	นักรบ	ลูกบู๊ขิวเขียม	ท้ายสุด
Guanqiu Jian	บู๊ขิวเขียม	วุยก๊ก (Wei)	นักรบ		ปลาย
Gui Lan	อิหลำ	ง่อก๊ก (Wu)	นักรบ		กลาง
Gui Yuanjin	กุยอ้วนจิ๋น		นักรบ	อ้วนเสี้ยว	ต้น
Guo Huai	กุยห้วย (โกฉุย,กวยหวย)	วุยก๊ก (Wei)	นักรบ		กลาง
Guo Jia	กุยแก	วุยก๊ก (Wei)	กุนซือ		ต้น
Guo Sheng	ก๊กเสง		ขุนนาง	10ขันที	ต้น
Guo Si	กุยกี		นักรบ	ตั๋งโต๊ะ	ต้น
Guo Tu	กัวเต๋า		กุนซือ	อ้วนเสี้ยว	ต้น
Guo Ye	กุยเอ๊ก	วุยก๊ก (Wei)	กุนซือ		กลาง
Guo Youzhi	กุยฮิวจี๋	จกก๊ก (Shu)	ขุนนาง		ปลาย
Han Dang	ฮันต๋ง	ง่อก๊ก (Wu)	นักรบ		ต้น
Han Fu	ฮันฮก		ขุนนาง		ต้น
Han Hao	ฮันโฮ	วุยก๊ก (Wei)	นักรบ		กลาง
Han Heng	ฮันหอง		ขุนนาง	อ้วนเสี้ยว	ต้น
Han Ji	หันค่าย	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Han Juzi	ฮันจูกี๋		นักรบ	อ้วนเสี้ยว	ต้น
Han Meng	ฮันเบ๋ง		นักรบ	อ้วนเสี้ยว	ต้น
Han Rong	ฮันหยง		ขุนนาง		ต้น
Han Song	ฮันสง		นักรบ	เล่าเปียว	ต้น
Han Sui	หันซุย	วุยก๊ก (Wei)	ขุนนาง		ต้น
Han Xian	หันเซียม		ขุนนาง	อ้วนสุด	ต้น
Han Xuan	ฮันเหียน		ขุนนาง		กลาง
Han Yin	หันอิ้น		ขุนนาง	อ้วนสุด	ต้น
Han De	ฮันเต๊ก	วุยก๊ก (Wei)	นักรบ	เกี๋ยง	ปลาย
Han Qi	ฮันกี๋	วุยก๊ก (Wei)	นักรบ	เกี๋ยง	ปลาย
Han Qiong	ฮันเขง	วุยก๊ก (Wei)	นักรบ	เกี๋ยง	ปลาย
Han Xuan	ฮันเหียน		ขุนนาง		กลาง
Han Yao	ฮันเอี๋ยว	วุยก๊ก (Wei)	นักรบ	เกี๋ยง	ปลาย
Han Ying	ฮันเอ๋ง	วุยก๊ก (Wei)	นักรบ	เกี๋ยง	ปลาย
Han Zhen	อันเจ๋ง	จกก๊ก (Shu)	ขุนนาง		ปลาย
Han Zhong	ฮั่นต๋ง		นักรบ	โจรผ้าเหลือง	ต้น
Han Zong	ฮั่นจ๋ง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Hao Meng	หลันเป้ง		นักรบ	ลิโป้	ต้น
Hao Zhao	เฮกเจียว	วุยก๊ก (Wei)	นักรบ		ปลาย
He He	โอจับ	วุยก๊ก (Wei)	ขุนนาง		กลาง
He Jin	โฮจิ๋น		ขุนนาง		ต้น
He Man	โฮปัน		นักรบ	โจรผ้าเหลือง	ต้น
He Meng	หลันเป้ง		นักรบ	ลิโป้	ต้น
He Miao	โฮเบี้ยว		ขุนนาง		ต้น
He Ping	โฮเป๋ง	จกก๊ก (Shu)	นักรบ		ปลาย
He Yan	โฮอั๋น	วุยก๊ก (Wei)	นักรบ		ปลาย
He Yi	โฮงี		นักรบ	โจรผ้าเหลือง	ต้น
He Yong	โหหยอง		ขุนนาง	โฮจิ๋น	ต้น
He Zeng	โฮเจ้ง	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
He Zhi	เหอจื๋อ	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Hou Cao	เฮาโจ		นักรบ	ลิโป้	ต้น
Hou Cheng	โฮเสง(เฮาเส็ง)		นักรบ	ลิโป้	ต้น
Hou Lan	เหาลำ		ขุนนาง	10ขันที	ต้น
Hou Xuan	เฮาชวน	วุยก๊ก (Wei)	นักรบ	หันซุย	กลาง
Hu Ban	งอปั้น	จกก๊ก (Shu)	นักรบ	อองเซ๊ก	ต้น
Hu Cai	โฮจ๋าย		ขุนนาง		ต้น
Hu Chier	เอาซกยี		กุนซือ	ตั๋งโต๊ะ	ต้น
Hu Fen	เฮาหุน(ห่อหุน)	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Hu Hua	โฮหัว		ขุนนาง		ต้น
Hu Ji	เฮาเจ้(เปงจี๋)	จกก๊ก (Shu)	นักรบ		ปลาย
Hu Juer	เฮาเฉีย		นักรบ	เตียวสิ้ว	ต้น
Hu Lie	เฮาเหลก	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Hu Miao	หูเหมี่ยว		ขุนนาง		ต้น
Hu Yuan	เฮาเกียน	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Hu Zhen	โฮจิ๋น		นักรบ	ตั๋งโต๊ะ	ต้น
Hu Zhi	เฮจิด	วุยก๊ก (Wei)	นักรบ		ปลาย
Hu Zhong	อาวต๋ง	จกก๊ก (Shu)	นักรบ		ปลาย
Hu Zong	หูซง	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Hu Zun	โฮจุ๋น(อ้าวจุ๋น)	วุยก๊ก (Wei)	นักรบ		ปลาย
Hua Jiao	หัวเหอ(หองหยก)	ง่อก๊ก (Wu)	กุนซือ		ท้ายสุด
Hua Tuo	หมอฮัวโต๋				ต้น
Hua Xiong	ฮัวหยง		นักรบ	ตั๋งโต๊ะ	ต้น
Hua Xin	ฮัวหิม	วุย ง่อ	ขุนนาง		ต้น
Hua Yong	ฮั้วเอ๋ง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Huan Fan	ฮวนห้อม	วุยก๊ก (Wei)	กุนซือ		ปลาย
Huan Ji	ฮวนกาย	ง่อก๊ก (Wu)	ขุนนาง		ต้น
Huan Jia	หวนแก	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Huan Jie	หองไก่	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Huan Yi	ฮวนอี	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Huang Chenyan	ฮองเสงหงัน			พ่อตาขงเบ้ง	ปลาย
Huang Chong	หวนจง	จกก๊ก (Shu)	ขุนนาง		ท้ายสุด
Huang Gai	อุยกาย	ง่อก๊ก (Wu)	นักรบ		ต้น
Huang Hao	ฮุยโฮ	จกก๊ก (Shu)	ขุนนาง		ท้ายสุด
Huang Kui	อุยกุ๋ย	วุยก๊ก (Wei)	ขุนนาง		กลาง
Huang Quan	อุยก๋วน(ห้องกวน)	วุย จก	ขุนนาง	เล่าเจี้ยง	กลาง
Huang Shao	อุยเซียว		นักรบ	โจรผ้าเหลือง	ต้น
Huang Wan	อุยอ๋วน		ขุนนาง	ตั๋งโต๊ะ	ต้น
Huang Zhong	ฮองตง	จกก๊ก (Shu)	นักรบ	ฮันเหียน	กลาง
Huang Zu	หองจอ		ขุนนาง	เล่าเปียว	ต้น
Huangfu Kai	ฮองฝูข่าย	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Huangfu Li	ฮองหูเฮียบ		ขุนนาง		ต้น
Huangfu Song	ฮองฮูสง		นักรบ		ต้น
Huo Jun	งักจุ้น	จกก๊ก (Shu)	นักรบ	เล่าเปียว	กลาง
Huo Yi	คว้อเก๋อ	จกก๊ก (Shu)	ขุนนาง		ท้ายสุด
Ji Ling	กิเหลง		นักรบ	อ้วนสุด	ต้น
